name,edition,condition,language,price_eur,quantity,seller
Centinela muralla,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Sacerdote del rito de la sombra,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Cambiamareas de los Volshe,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Cambiamareas de los Volshe,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Herencia del héroe,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,0.28,8,Mazvigosl
Isla (V.2),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Llanura (V.1),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Profecía de la sombra,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl
Esfinge de los cielos despejados,Dominaria Unida,NM,Inglés,0.47,2,Mazvigosl
"Meria, erudita de la antigüedad",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Alma de Windgrace,Dominaria Unida,NM,Inglés,1.95,8,Mazvigosl
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl
"Shanna, hoja purificadora",Dominaria Unida,NM,Inglés,19.95,8,Mazvigosl
"Jodah, el Unificador",Dominaria Unida,NM,Inglés,4.95,3,Mazvigosl
Instigadora de Radha,Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl
Durmiente evolucionado,Dominaria Unida,NM,Inglés,1.75,4,Mazvigosl
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl
Cantante mental vodaliana,Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl
Maestra sabia de la Academia,Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl
Profanador de la fe,Dominaria Unida,NM,Inglés,1.45,4,Mazvigosl
"Karn, Living Legacy",Dominaria Unida,NM,Inglés,2.95,4,Mazvigosl
Guardiana de Nueva Benalia,Dominaria Unida,NM,Inglés,1.25,8,Mazvigosl
El cambio de fase de Zhalfir,Dominaria Unida,NM,Inglés,1.45,8,Mazvigosl
Isla (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Pantano (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Pantano (V.2),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Bosque (V.2),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Montaña (V.1),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Llanura (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Montaña (V.2),Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Llanura (V.2),Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Isla (V.1),Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Montaña (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Pantano (V.1),Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Amenazas no advertidas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Djinn de la fuente,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
"Rona, fiel de Sheoldred",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Garna, puñosangriento de Keld",Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl
"Najal, el Corredor de Tormentas",Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Bosque (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Bosque (V.3),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Bosque (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Bosque (V.2),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Bosque (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Bosque (V.1),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Montaña (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Montaña (V.3),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Montaña (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Montaña (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Montaña (V.1),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Pantano (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Pantano (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Pantano (V.2),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Pantano (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Isla (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Isla (V.3),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Isla (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Isla (V.2),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Isla (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Isla (V.1),Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl
Llanura (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Llanura (V.3),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Llanura (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Llanura (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Llanura (V.1),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Hacha del vencedor,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Autómata de maná recuperado,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Meteorito,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Códice de Jodah,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Bibliotecario autómata,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
"Zar Ojanen, hija de Efrava",Dominaria Unida,NM,Inglés,0.4,8,Mazvigosl
"Vohar, profanador vodaliano",Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl
"Uurg, engendro de Turg",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
"Tura Kennerüd, caballero celeste",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
"Tatyova, sirviente de las mareas",Dominaria Unida,NM,Inglés,0.45,8,Mazvigosl
"Rulik Mons, jefa del barracón",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
"Rona, fiel de Sheoldred",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
"Raff, partidario del Vientoligero",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
"Radha, señora guerrera de la Coalición",Dominaria Unida,NM,Inglés,0.5,8,Mazvigosl
"Najal, el Corredor de Tormentas",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
"Nael, aeronauta de avizoas",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Bortuk Sonahuesos,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
"Balmor, capitán mago de guerra",Dominaria Unida,NM,Inglés,0.21,5,Mazvigosl
Transeúnte de Yavimaya,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Prodigio moldeaenredaderas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Maro territorial,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Raizguana al sol,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Fuerza de la Coalición,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Tejetrampas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Inspección de Pies de Fango,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Explorar lo salvaje,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Ancestro barbamusgosa,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Centinela mágnigoth,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Acechadora de Llanowar,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Báloth rompelíneas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Tortuga suprimemaleficios,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Poderío de Gaia,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl
Muro de enredaderas florífero,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Hidromante élfica,Dominaria Unida,NM,Inglés,0.5,8,Mazvigosl
Sierpe del elfhogar,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Jardinera brote lúgubre,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Crecimiento colosal,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Alas rotas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Tejón del cenagal,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Aplastador cortezatejida,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Yotia declara la guerra,Dominaria Unida,NM,Inglés,0.5,8,Mazvigosl
Trituracero de Yavimaya,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Frenesí de la hueste,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl
Surcarramas viashino,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Entusiasmo ante la posibilidad,Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl
Trasgo germinante,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Monstruosidad fundida,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Batidora de Meria,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Equipo de ataque keldon,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Pirotorbellino de Jaya,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Servir al Abismo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Cíclope lanzador,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Mano de martillo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Trasgo recolector,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Amplificadora ghitu,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Clamor furioso,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Kavu de piedra variable,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Fuegos de la victoria,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Cría de dragón,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Bestia de guerra de la Coalición,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Berserker balduviano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Reposesión de Urborg,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl
Tributo a Urborg,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Abominación tóxica,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Fantasma andrajoso,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Trasgo salpicador,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Experta de Sengir,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Viviseccionadora pirexiana,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Iracundo pirexiano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
